time_window_start,tcp_packet_count,udp_packet_count,http_packet_count,tcp_sessions_count,udp_sessions_count,tcp_src_ports_count,udp_src_ports_count,tcp_dst_ports_count,udp_dst_ports_count,avg_pkt_length,avg_tcp_pkt_length,avg_udp_pkt_length,unique_ip_count,http_url_count,avg_http_url_length,http_url_categories
2025-05-24 20:49:27,8,9,0,2,2,2,2,2,2,103,103,103,3,0,0,нет
2025-05-24 20:49:28,21,27,0,7,7,6,4,5,3,335,407,299,8,0,0,нет
2025-05-24 20:49:29,54,15,0,11,8,8,6,5,6,434,413,512,8,4,18,нет
2025-05-24 20:49:30,45,18,0,18,8,14,5,6,7,452,522,276,10,0,0,нет
2025-05-24 20:49:31,11,6,0,6,2,6,2,2,2,998,1113,787,4,0,0,нет
2025-05-24 20:49:32,12,40,0,7,6,7,5,2,5,416,909,286,7,0,0,нет
2025-05-24 20:49:33,9,133,0,7,15,7,10,4,11,727,692,739,13,4,18,нет
2025-05-24 20:49:34,19,245,0,9,10,9,7,5,7,950,471,994,11,0,0,нет
2025-05-24 20:49:35,4,6,0,3,4,3,3,3,3,382,405,367,5,0,0,нет
2025-05-24 20:49:36,1,20,0,1,5,1,4,1,5,329,1466,300,5,0,0,нет
2025-05-24 20:49:37,1,34,0,1,6,1,5,1,5,299,1466,264,5,0,0,нет
2025-05-24 20:49:38,8,41,0,3,6,3,5,2,5,209,239,210,6,0,0,нет
2025-05-24 20:49:39,4,123,0,4,16,4,11,1,11,483,1466,451,8,8,25,нет
2025-05-24 20:49:40,8,26,0,3,6,3,5,2,5,267,238,292,6,0,0,нет
2025-05-24 20:49:41,10,19,0,3,4,3,4,3,4,281,205,321,5,0,0,нет
2025-05-24 20:49:42,0,61,0,0,10,0,7,0,7,162,0,166,6,0,0,нет
2025-05-24 20:49:43,0,15,0,0,8,0,6,0,6,290,0,290,6,0,0,нет
2025-05-24 20:49:44,0,6,0,0,2,0,2,0,2,426,0,548,2,0,0,нет
2025-05-24 20:49:45,12,12,2,2,6,2,5,2,5,264,236,292,5,0,0,нет
2025-05-24 20:49:46,0,23,0,0,5,0,5,0,4,253,0,270,4,0,0,нет
2025-05-24 20:49:47,1,37,0,1,7,1,6,1,5,214,54,218,6,0,0,нет
2025-05-24 20:49:48,13,53,0,6,7,5,6,3,5,312,70,380,9,0,0,нет
2025-05-24 20:49:49,3,29,0,3,5,3,5,1,4,269,54,292,5,0,0,нет
2025-05-24 20:49:50,1,59,0,1,12,1,8,1,8,241,54,251,8,0,0,нет
2025-05-24 20:49:51,1,43,0,1,6,1,5,1,5,192,54,195,5,0,0,нет
2025-05-24 20:49:52,6,10,0,6,4,4,4,4,4,184,61,283,6,0,0,нет
2025-05-24 20:49:53,23,9,0,18,5,10,4,10,3,252,260,232,13,0,0,нет
2025-05-24 20:49:54,20,30,0,15,13,9,9,8,10,279,356,241,15,4,18,нет
2025-05-24 20:49:55,14,51,0,14,13,10,9,8,8,198,260,181,16,0,0,нет
2025-05-24 20:49:56,1,27,0,1,6,1,5,1,5,269,1454,241,5,0,0,нет
2025-05-24 20:49:57,1,30,0,1,6,1,4,1,4,265,1466,225,5,0,0,нет
2025-05-24 20:49:58,27,90,2,7,25,6,16,5,15,329,364,325,11,14,32,нет
2025-05-24 20:49:58,27,90,2,7,25,6,16,5,15,329,364,325,11,14,32,студент
2025-05-24 20:49:59,6,25,0,2,14,2,9,2,9,299,446,264,7,9,34,нет
2025-05-24 20:49:59,6,25,0,2,14,2,9,2,9,299,446,264,7,9,34,студент
2025-05-24 20:50:00,2,49,0,2,12,2,6,2,6,200,179,206,8,0,0,нет
2025-05-24 20:50:01,10,24,0,4,8,4,5,4,5,190,214,180,8,0,0,нет
2025-05-24 20:50:02,1,9,0,1,5,1,4,1,3,421,1466,385,5,0,0,нет
2025-05-24 20:50:03,85,74,2,13,18,11,12,10,12,397,433,356,12,8,20,нет
2025-05-24 20:50:04,45,14,0,6,14,5,10,6,8,403,476,219,9,10,38,студент
2025-05-24 20:50:05,7,8,0,5,4,5,3,5,3,288,75,474,6,0,0,нет
2025-05-24 20:50:06,0,116,0,0,6,0,6,0,4,811,0,824,5,0,0,нет
2025-05-24 20:50:07,4,2,0,4,2,3,2,3,2,303,61,787,4,0,0,нет
